名称,ふりがな,郵便番号,所在地,関連URL,写真,コメント,電話番号,FAX番号,その他情報,経度,緯度
マツモトキヨシ　大和桜森店,まつもときよし　やまとさくらもりてん,2420028,大和市桜森3-4,,,88-H-3,046-262-2233,,,139.4454026,35.4692925
セブンイレブン　大和中央林間５丁目店,せぶんいれぶん　やまとちゅうおうりんかんごちょうめてん,2420007,大和市中央林間5-4-16,,,9-B-6,046-273-0385,,,139.4456614,35.5086392
（株）オオゼキ　中央林間店,かぶしきがいしゃおおぜきちゅうおうりんかんてん,2420007,大和市中央林間5-7-4,,,19-B-2,046-273-0288,,,139.4459001,35.5055884
いなげや　大和相模大塚駅前店,いなげや　やまとさがみおおつかえきまえてん,2420029,大和市上草柳187-2,,,89-B-3,046-265-5551,,,139.4462852,35.4694084
セブンイレブン　大和中央林間1丁目,せぶんいれぶん　やまとちゅうおうりんかんいっちょうめ,2420007,大和市中央林間1-9-13,,,29-B-8,046-271-7110,,,139.4463598,35.4986952
生活協同組合ユーコープかながわ　南林間店,せいかつきょうどうくみあいゆーこーぷかながわ　みなみりんかんてん,2420006,大和市南林間5-9-1,,,45-B-6,046-274-7202,,,139.4464014,35.4908132
セブンイレブン　大和中央林間3丁目店,せぶんいれぶん　やまとちゅうおうりんかんさんちょうめてん,2420007,大和市中央林間3-11-1,,,19-B・C-5,046-272-3077,,,139.4464709,35.5045306
クリエイトエス・ディー　大和中央林間店,くりえいとえすでぃー　やまとちゅうおうりんかんてん,2420007,大和市中央林間1-5-15,,,29-C-1,046-271-7102,,,139.446524,35.5020711
（有）信濃屋　牛山酒店,ゆうげんがいしゃしなのやうしやまさけてん,2420005,大和市西鶴間6-20-13,,,63-C-2,046-274-4400,,,139.4465587,35.4831711
Olympic　相模大塚店,おりんぴっく　さがみおおつかてん,2420029,大和市上草柳112-1,,,89-C-4,046-260-0011,,,139.4466356,35.4689266
ローソン　大和南林間五条通り店,ろーそん　やまとみなみりんかんごじょうどおりてん,2420006,大和市南林間4-7-18,,,45-C-6,046-275-6605,046-275-6605,,139.4467017,35.4905194
セブンイレブン　大和桜森１丁目店,せぶんいれぶん　やまとさくらもりいっちょうめてん,2420028,大和市桜森1-6-20,,,99-C-1,046-261-1101,,,139.44673,35.4655848
ファミリーマート　中央林間駅前店,ふぁみりーまーと　ちゅうおうりんかんえきまえてん,2420007,大和市中央林間3-3-8,,,19-C-3,046-271-6675,,,139.4467411,35.5054458
クリエイトS･D　中央林間一丁目店,くりえいとえすでぃー　ちゅうおうりんかんいっちょうめてん,2420007,大和市中央林間1-9-15,,,29-C-7,046-278-1178,,,139.4467525,35.4990725
福田屋,ふくだや,2420007,大和市中央林間3-4-13,,,19-C-4,046-274-4140,,,139.4467736,35.5050991
セブンイレブン　大和中央林間駅西店,せぶんいれぶん　やまとちゅうおうりんかんえきにしてん,2420007,大和市中央林間3-1-11,,,19-D-8,046-277-6707,,,139.4471302,35.5033344
廣田屋,ひろたや,2420007,大和市中央林間4-1-6,,,19-D-10,046-276-7979,,,139.447557,35.502086
ペンギン薬局　中央林間店,ぺんぎんやっきょく　ちゅうおうりんかんてん,2420007,大和市中央林間4-5-5,,,19-E-4,046-276-8640,,,139.447787,35.5051869
クリエイトエス・ディー　大和鶴間店,くりえいとえすでぃー　やまとつるまてん,2420005,大和市西鶴間5-1-43,,,63-E-6,046-264-8133,,,139.4477892,35.4817346
サイクルセンター　ナガノ,さいくるせんたーながの,2420006,大和市南林間1-19-11,,,45-E-5,046-274-4439,,,139.4478717,35.4911169
ファミリーマート　大和上草柳店,ふぁみりまーと　やまとかみそうやぎてん,2420029,大和市上草柳104-3,,,89-D-5,046-200-5278,,,139.4479318,35.4685385
（有）ダイナス　第一営業所,ゆうげんがいしゃだいなすだいいちえいぎょうしょ,2420007,大和市中央林間4-5-10,,,19-E-3,046-274-2975,,,139.4480258,35.5054798
（有）ダイナス,ゆうげんがいしゃだいなす,2420007,大和市中央林間4-5-21,,,19-E-5,046-276-5181,,,139.4480496,35.5046737
セブンイレブン　大和中央林間駅前店,せぶんいれぶん　やまとちゅうおうりんかんえきまえてん,2420007,大和市中央林間4-6-20,,,19-E-7,046-277-7779,,,139.4480833,35.5036734
オリンピック　中央林間店,おりんぴっく　ちゅうおうりんかんてん,2420007,大和市中央林間4-14-10,,,19-F-3,046-276-9951,,,139.4485976,35.505491
オダギリ薬局　中央林間店,おだぎりやっきょくちゅうおうりんかんてん,2420007,大和市中央林間4-14-2,,,19-F-4,046-276-5529,,,139.4486052,35.5048364
（有）田辺精米店,ゆうげんがいしゃたなべせいまいてん,2420005,大和市西鶴間5-1-24,,,63-G-9,046-261-4665,,,139.4487104,35.4799422
ココカラファイン　中央林間店,ここからふぁいん　ちゅうおうりんかんてん,2420007,大和市中央林間4-14-25,,,19-G-5,046-278-5813,,,139.448807,35.5047116
ローソンストア100　南林間店,ろーそんすとあひゃく　みなみりんかんてん,2420006,大和市南林間2-9-3,,,37-G-10,046-271-5527,,,139.448985,35.4931173
サンドラッグ　西鶴間店,さんどらっぐ　にしつるまてん,2420005,大和市西鶴間4-12-38,,,63-G-3,046-200-6055,046-200-6056,,139.4490133,35.4827484
トモズ中央林間東急スクエア店,ともずちゅうおうりんかんとうきゅうすくえあてん,2420007,大和市中央林間4-12-1　中央林間東急スクエア1F,,,19-G-6,046-206-5255,046-278-1771,10:00～22:00,139.4490509,35.5042706
中央林間　とうきゅう,ちゅうおうりんかんとうきゅう,2420007,大和市中央林間4-12-1,,,19-G-6,046-276-0109,,,139.4490913,35.504014
（有）秋田屋酒店,ゆうげんがいしゃあきたやさけてん,2420005,大和市西鶴間4-12-40,,,63-G-3,046-261-3941,,,139.449151,35.4829681
ファミリーマート　中央林間駅東口店,ふぁみりーまーとちゅうおうりんかんえきひがしぐちてん,2420007,大和市中央林間4-14-20,,,19-H-4,046-276-9991,,,139.4493712,35.5047419
（有）星野新聞店,ゆうげんかいしゃほしのしんぶんてん,2420006,大和市南林間4-1-27,,,45-H-10,046-274-2417,,,139.449508,35.4885554
（有）西海電器商会,ゆうげんがいしゃにしうみでんきしょうかい,2420006,大和市南林間1-9-17,,,45-H-3,046-274-0734,,,139.4496613,35.4918321
（有）森田屋商店,ゆうげんがいしゃもりたやしょうてん,2420006,大和市南林間2-10-15,,,38-A-10,046-274-8142,,,139.4499181,35.4931954
ローソン　西鶴間小学校入口店,ろーそん　にしつるましょうがっこういりぐちてん,2420005,大和市西鶴間2-26-10,,,64-A-1,046-240-9551,,,139.4499504,35.4836789
（株）大矢商店,かぶしきがいしゃおおやしょうてん,2420006,大和市南林間1-8-19,,,46-B-2,046-274-0549,,,139.450412,35.492258
マツモトキヨシ　南林間店,まつもときよしみなみりんかんてん,2420006,大和市南林間1-7-11,,,46-B-3,046-275-3420,,,139.4506256,35.4916744
ファミリーマート　南林間駅前店,ふぁみりーまーと　みなみりんかんえきまえてん,2420006,大和市南林間1-7-14,,,46-B-2,046-278-5808,,,139.4506484,35.4920736
セブンイレブン　大和林間２丁目店,せぶんいれぶん　やまとりんかんにちょうめてん,2420003,大和市林間2-2-1,,,38-B-8,046-277-1711,,,139.4507091,35.4939863
くすりセイジョー　南林間店,くすりせいじょーみなみりんかんてん,2420006,大和市南林間1-6-11,,,46-B-1,046-271-5090,,,139.4507612,35.4926594
オダキューOX　南林間店,おだきゅーおーえっくすみなみりんかんてん,2420006,大和市南林間1-6-11,,,46-B-1,046-278-2201,,,139.4507612,35.4926594
ツルハドラッグ　南林間駅前店,つるはどらっぐ　みなみりんかんえきまえてん,2420003,大和市林間2-1-1　南林間リバゲイン１Ｆ,,,38-B/C-10,046-271-6268,,,139.4511018,35.493271
ローソン　大和西鶴間二丁目店,ろーそん　やまとにしつるまにちょうめてん,2420005,大和市西鶴間2-3-17,,,56-C-5･6,046-273-8055,,,139.4511194,35.4861761
ファミリーマート　南林間店,ふぁみりーまーと　みなみりんかんてん,2420006,大和市南林間1-2-14　服部ビル1F,,,46-C-7,046-271-6332,,,139.4511411,35.4901295
セブンイレブン　大和西鶴間2丁目店,せぶんいれぶんやまとにしつるまにちょうめてん,2420005,大和市西鶴間2-1-1,,,56-C-9,046-272-4165,,,139.4514918,35.4846668
ファミリーマート　サンズ中央林間四丁目店,ふぁみりーまーと　さんずちゅうおうりんかんよんちょうめてん,2420007,大和市中央林間4-29-20,,,20-D-6,046-271-5328,,,139.4516886,35.5038578
（株）りんかーん・オフィスサポート,かぶしきがいしゃりんかーんおふぃすさぽーと,2420003,大和市林間2-9-6,,,30-E-9,046-275-4151,046-275-4127,,139.4519971,35.49792
サクライ洋品店,さくらいようひんてん,2420005,大和市西鶴間1-7-6,,,46-E-9,046-274-8524,,,139.4520905,35.4889556
ウェルシア　大和中央林間店,うぇるしあ　やまとちゅうおうりんかんてん,2420001,大和市中央林間8-25-2,,,20-E-2・3,046-278-2377,,,139.4521715,35.5053575
守屋商店,もりやしょうてん,2420005,大和市西鶴間1-21-1,,,56-E-5,046-274-2243,,,139.4523716,35.4864451
マツモトキヨシ　ラプラ中央林間店,まつもときよし　らぷらちゅうおうりんかんてん,2420001,大和市中央林間8-25-8,,,20-F-2,046-277-2567,,,139.4524529,35.5061953
和菓子処　喜泉（本店）,わがしどころきせんほんてん,2420003,大和市林間2-21-4,,,38-F-5,046-276-1123,,,139.4526814,35.495319
（有）林間薬局,ゆうげんがいしゃりんかんやっきょく,2420003,大和市林間2-21-3,,,38-F-5,046-276-5637,,,139.4527717,35.4951796
リビングショップ　ウチダ,りびんぐしょっぷうちだ,2420005,大和市西鶴間1-12-22,,,56-F-3,046-274-3857,,R6.4/1廃業,139.4529022,35.4873499
ホームセンターコーナン　中央林間店,ほーむせんたーこーなん　ちゅうおうりんかんてん,2420001,大和市中央林間7-7-1,,,30-G-2,046-271-2151,,,139.4532444,35.5008979
広瀬米店,ひろせこめてん,2420001,大和市中央林間9-38-6,,,04-G-9,046-274-2236,,,139.4531624,35.5118025
クリエイトS･D　りんかんモール店,くりえいとえす・でぃー　りんかんもーるてん,2420001,大和市中央林間7-6-1,,,30-G-5,046-271-5330,,,139.45284,35.5000748
ナベタ商店,なべたしょうてん,2420005,大和市西鶴間1-2-1,,,56-H-5,046-274-0449,,,139.4538245,35.4865004
セブンイレブン　大和鶴間駅西口店,せぶんいれぶん　やまとつるまえきにしぐちてん,2420005,大和市西鶴間1-1-1,,,56-H-4,046-273-8280,,,139.4538258,35.486944
ローソン　上草柳八丁目店,ろーそん　かみそうやぎはっちょうめてん,2420029,大和市上草柳8-16-18,,,64-H-9,046-200-5715,,,139.45396,35.479929
セブンイレブン　大和林間１丁目店,せぶんいれぶん　やまとりんかんいっちょうめてん,2420003,大和市林間1-16-2,,,46-H-2,046-275-1771,,,139.4541125,35.4920701
クリエイトエス・ディー　大和南林間店,くりえいとえすでぃー　やまとみなみりんかんてん,2420003,大和市林間1-16-3,,,47-A-2,046-271-6223,,,139.4542985,35.492301
カインズホーム　りんかんモール店,かいんずほーむ　りんかんもーるてん,2420001,大和市中央林間7-6-1,,,30-G-5,046-275-5000,,,139.4540165,35.5002544
マルエツ　鶴間店,まるえつつるまてん,2420005,大和市西鶴間3-1-8,,,56-H-7,046-262-1261,,,139.4543876,35.4856499
ローソン　大和鶴間駅前店　,ろーそんやまとつるまえきまえてん,2420004,大和市鶴間2-1-24,,,57-A-4,046-271-7077,,,139.4544657,35.4867413
ファミリーマート　大和下鶴間北店,ふぁみりーまーと　やまとしもつるまきたてん,2420001,大和市中央林間9-7-29,,,11-A-6,046-271-5077,,,139.4545795,35.5074463
セブンイレブン　大和上草柳７丁目店,せぶんいれぶん　やまとかみそうやぎななちょうめてん,2420029,大和市上草柳7-10-25,,,65-A-5,046-261-1979,,,139.4548148,35.4816855
広部たばこ店,ひろべたばこてん,2420004,大和市鶴間1-8-1,,,57-B-7,046-261-0243,,,139.4549715,35.4856032
セブンイレブン　大和林間店,せぶんいれぶんやまとりんかんてん,2420001,大和市林間1-18-18,,,39-C-89,046-276-6130,,,139.4555341,35.4940404
（有）鶴間金物店,ゆうげんがいしゃつるまかなものてん,2420004,大和市鶴間1-3-2,,,57-D-4,046-261-0551,,,139.4557224,35.4868367
オダギリ薬局　鶴間店,おだぎりやっきょくつるまてん,2420004,大和市鶴間2-11-30,,,57-D-4,046-271-6193,,,139.4560861,35.4872343
ローソン　大和上草柳五丁目店,ろーそん　やまとかみそうやぎごちょうめてん,2420029,大和市上草柳5-4-6,,,75-D-7,046-260-3233,,,139.4561401,35.4766874
ローソン　大和市下鶴間店,ろーそん　やまとししもつるまてん,2420001,大和市下鶴間1787-2,,,031-E-9,046-276-5595,,,139.4567014,35.4981382
山形屋酒店,やまがたやさけてん,2420004,大和市鶴間2-12-9,,,57-F-1,046-274-6089,,,139.456929,35.4883523
セブンイレブン　大和鶴間駅東口店,せぶんいれぶん　やまとつるまえきひがしぐちてん,2420004,大和市鶴間1-31-3,,,57-F-4,046-240-7368,,,139.4571238,35.4872751
セブンイレブン　大和下鶴間店,せぶんいれぶん　やまとしもつるまてん,2420001,大和市下鶴間2782-1,,,47-H-8,046-273-4311,,,139.4581525,35.4892765
クリエイトエス・ディー　大和代官店,くりえいとえす・でぃー　やまとだいかんてん,2420025,大和市代官4-18-3,,,141-F-89,046-279-1012,,,139.4576124,35.4352864
（株）坂屋　高橋酒店,かぶしきがいしゃさかや　たかはしさけてん,2420029,大和市上草柳3-2-20,,,83-G-5,046-263-1181,,,139.4576842,35.4727924
セブンイレブン　大和代官4丁目店,せぶんいれぶん　やまとだいかんよんちょうめてん,2420025,大和市代官4-18-1,,,141-FG-7,046-269-2577,,,139.4578338,35.4358071
ドラッグストア　マツモトキヨシ　大和鶴間店,どらっぐすとあ　まつもときよし　やまとつるまてん,2420001,大和市下鶴間2780-1,,,47-H-10,046-278-1377,,,139.4585772,35.4884261
業務スーパー　やまか大和中央店,ぎょうむすーぱー　やまかやまとちゅうおうてん,2420021,大和市中央4-13-5,,,101-H-1,046-263-0850,046-265-1546,,139.4587215,35.4656708
クリエイトエス・ディー　大和上草柳店,くりえいとえす・でぃー　やまとかみそうやぎてん,2420029,大和市上草柳1-7-22,,,84-A-4,046-200-6621,,,139.4588995,35.4732145
セブンイレブン　大和鶴間１丁目店,せぶんいれぶん　やまとつるまいっちょうめてん,2420004,大和市鶴間1-20-24,,,66-A-1,046-263-7755,,,139.4590558,35.4835039
嶋田商店,しまだしょうてん,2420025,大和市代官2-13-24,,,142-A-2,046-269-8186,,,139.4592918,35.4382211
セブンイレブン　大和上草柳店,せぶんいれぶん　やまとかみそうやぎ,2420029,大和市上草柳1-3-7,,,92-B-1,046-263-6410,,,139.4594258,35.4702168
ファミリーマート　つきみ野入口店,ふぁみりーまーと　つきみのいりぐちてん,2420001,大和市下鶴間44-1,,,06-B-6,046-271-0670,,,139.4594981,35.5129893
（有）伊藤商店,ゆうげんがいしゃいとうしょうてん,2420025,大和市代官2-13-18,,,142-B-3,046-269-0498,,,139.4596468,35.4378066
クリエイトエス・ディー　大和店,くりえいとえすでぃーやまとてん,2420004,大和市鶴間1-21-18,,,66-C-1,046-263-8905,,,139.4598118,35.4837238
（有）保坂商店　魚松,ゆうげんがいしゃほさかしょうてん　うおまつ,2420001,大和市下鶴間2771-91,,,48-C-5,046-276-5243,,,139.4598858,35.4907629
イトーヨーカドー　大和鶴間店,いとーよーかどー　やまとつるまてん,2420001,大和市下鶴間1-3-1,,,58-C-2,046-261-1211,,,139.4603633,35.4873943
クリエイトS･D　大和中央店,くりえいとえすでぃー　やまとちゅうおうてん,2420021,大和市中央5-11-30,,,102-D-6,046-200-2291,,,139.4606563,35.4636038
（有）湘南マット,しょうなんまっと,2420026,大和市草柳3-8-2,,,114-D-6,046-262-2136,,,139.460745,35.4545349
ローソン　つきみ野駅前店,ろーそん　つきみのえきまえてん,2420002,大和市つきみ野3-24-3,,,12-E-10,046-277-5752,,,139.4608154,35.5065282
イオンスタイル　つきみ野,いおんすたいる　つきみの,2420002,大和市つきみ野1-6-1,,,032-E-6,046-271-5110,,,139.4602389,35.4989972
山金商店,やまがねしょうてん,2420001,大和市下鶴間2973,,,40-E-4,046-274-9749,,,139.4608927,35.4955841
ファミリーマート　大和草柳三丁目店,ふぁみりーまーと　やまとそうやぎさんちょうめてん,2420026,大和市草柳3-22-1,,,114-D-1,046-200-5170,,,139.4609655,35.4566237
リカーランド　トップ　大和店,りかーらんど　とっぷ　やまとてん,2420026,大和市草柳2-17-3,,,108-E-10,046-262-9011,,,139.4610621,35.4573329
イオンリテール（株）　イオン大和鶴間店,いおんりてーるかぶしきがいしゃいおん　やまとつるまてん,2420001,大和市下鶴間1-2-1,,,58-D-6,046-200-3300,,,139.4612748,35.4856867
松井酒店,まついさけてん,2420024,大和市福田3710,,,150-E-4,046-267-6604,,,139.4612956,35.4329998
東急ストア　フードステーション　つきみ野店,とうきゅうすとあ　ふーどすてーしょん　つきみのてん,2420002,大和市つきみ野5-8-6,,,12-EF-8,046-271-6880,,,139.4613474,35.5076087
ファミリーマート　大和中央五丁目店,ふぁみりーまーと　やまとちゅうおうごちょうめてん,2420021,大和市中央5-10-3,,,102-E-9,046-200-2027,046-200-2027,,139.461367,35.4622515
ミニストップ　大和代官2丁目店,みにすとっぷやまとだいかんにちょうめてん,2420025,大和市代官2-6-6,,,142-E-4,046-269-6616,,,139.4614977,35.4374273
ファミリーマート　大和代官２丁目店,ふぁみりーまーと　やまとだいかんにちょうめてん,2420025,大和市代官2-17-4,,,142-E・F-7,046-279-5677,,,139.461559,35.4362355
セブンイレブン　大和中央５丁目店,せぶんいれぶん　やまとちゅうおうごちょうめてん,2420021,大和市中央5-3-18,,,102-F-4・5,046-263-5006,,コンビニエンスストア,139.4616729,35.4639396
（株）ヨークマート　大和中央店,かぶしきがいしゃよーくまーとやまとちゅうおうてん,2420021,大和市中央2-6-1,,,92-G-6,046-263-5599,,,139.4619292,35.4679841
ローソンストア100　大和中央二丁目店,ろーそんすとあひゃく　やまとちゅうおうにちょうめてん,2420021,大和市中央2-13-23　近藤リバティー１階,,,84-G-10,046-200-2399,,,139.4621012,35.470837
ローソン　大和下鶴間二丁目店,ろーそん　やまとしもつるまにちょうめてん,2420001,大和市下鶴間2776-13,,,48-G-9,046-275-2080,,,139.4621339,35.4891161
ドラッグシノザキ,どらっぐしのざき,2420024,大和市福田3595,,,142-G-10,046-267-0225,,,139.4621587,35.4347675
ファミリーマート　大和深見西２４６店,ふぁみりーまーと　やまとふかみにしによんろくてん,2420018,大和市深見西6-1-2,,,66-G-9,046-200-6854,,,139.4622966,35.4798362
クリエイトエス・ディー　つきみ野店,くりえいとえす・でぃー　つきみのてん,2420002,大和市つきみ野5-17-3,,,12-H-9,046-272-2237,,,139.4624582,35.507868
セブンイレブン　大和つきみ野駅北店,せぶんいれぶん　やまとつきみのえききたてん,2420001,大和市下鶴間524-1,,,12-H-6,046-273-9531,,,139.4626079,35.5085157
（有）林米店,ゆうげんがいしゃはやしこめてん,2420021,大和市中央2-8-4,,,92-H-4,046-261-0144,,,139.4628178,35.4686416
ドン・キホーテ　大和店,どん・きほーて　やまとてん,2420001,大和市下鶴間2-1-13,,,48-H-9,046-200-4011,,,139.4631156,35.4890136
仲森商店,なかもりしょうてん,2420024,大和市福田983,,,164-H-6,046-267-2977,,,139.4631417,35.4228882
ぷちショップ　宮村酒店,ぷちしょっぷみやむらさけてん,2420021,大和市中央4-1-3,,,93-A-10,046-261-0058,,,139.4636837,35.4663002
ローソンスリーエフ　大和駅前店,ろーそんすりーえふやまとえきまえてん,2420021,大和市中央4-1-24,,,93-A-9,046-263-0065,,,139.4636967,35.4665227
ドラッグセイムス　大和つきみ野店,どらっぐせいむす　やまとつきみのてん,2420002,大和市つきみ野4-12-3,,,23-B-2,046-271-7721,,,139.4637675,35.5057648
セブンイレブン　大和駅西店,せぶんいれぶんやまとえきにしてん,2420021,大和市中央2-4-2,,,93-B-7,046-263-1778,,,139.4637739,35.4673491
ファミリーマート　深見西一丁目店,ふぁみりーまーと　ふかみにしいっちょうめてん,2420018,大和市深見西1-2-32,,,85-B-8,046-200-4781,,,139.4638638,35.4715004
ローソンストア100　大和中央6丁目店,ろーそんすとあひゃく　やまとちゅうおうろくちょうめてん,2420021,大和市中央6-6-27　ベル･ドミール,,,109-B-2,046-200-4099,,,139.463903,35.460949
セブンイレブン　大和中央6丁目店,せぶんいれぶん　やまとちゅうおうろくちょうめてん,2420021,大和市中央6-9-28,,,109-B-5,046-263-7077,,,139.4639043,35.4593466
伊波商店,いなみしょうてん,2420021,大和市中央1-7-20,,,103-B-8,046-261-2966,,,139.4641492,35.4624689
オダキューOX　大和店,おだきゅーおーえっくすやまとてん,2420021,大和市中央2-1-26,,,93-B-8,046-261-3146,,,139.4642307,35.4672463
マルエツ　大和中央店,まるえつやまとちゅうおうてん,2420021,大和市中央1-4-19,,,103-C-3,046-260-2211,,,139.4643695,35.4646108
セイジョー　大和渋谷店,せいじょー　やまとしぶやてん,2420023,大和市渋谷4-1-1,,,151-C-2,046-201-1051,,,139.4644939,35.4336282
田辺商店,たなべしょうてん,2420001,大和市下鶴間2883,,,41-D-6,046-274-2067,,,139.4645925,35.4950815
つばた酒店,つばたさけてん,2420002,大和市つきみ野4-11-38,,,23-D-4,046-276-0770,,,139.4646274,35.5050269
榎本商店,えのもとしょうてん,2420001,大和市下鶴間2-4-22,,,59-C-6,046-263-3156,,,139.4646484,35.4858726
いなげや　大和高座渋谷店,いなげや　やまとこうざしぶやてん,2420024,大和市渋谷5-40-1,,,159-C-1,046-206-0178,,,139.4647293,35.429901
ツルハドラッグ　大和駅前店,つるはどらっぐやまとえきまえてん,2420017,大和市大和東1-2-1　大和スカイビル１Ｆ,,,93-C-7,046-200-6268,046-200-6268,,139.464741,35.4672055
マックスバリュエクスプレス　大和駅前店,まっくすばりゅえくすぷれす　やまとえきまえてん,2420017,大和市大和東1-2-1　大和スカイビル地下　<br>富士ガーデン大和店内,,,93-C-7,046-265-5971,,,139.4647548,35.4673125
ココカラファイン　小田急マルシェ大和店,ここからふぁいん　おだきゅうまるしぇやまとてん,2420021,大和市中央1ｰ1-26　小田急マルシェ大和店内,,,93-C-10,046-263-6683,046-263-6683,,139.4648705,35.4661904
セブンイレブン　大和深見店,せぶんいれぶん　やまとふかみてん,2420018,大和市深見西2-4-4,,,85-D-5,046-260-7778,,,139.4649642,35.4730409
セブンイレブン　大和福田店,せぶんいれぶん　やまとふくだてん,2420024,大和市渋谷5-41-1,,,151-C-7,046-268-1010,,,139.465028,35.4312987
セブンイレブン　大和渋谷３丁目店,せぶんいれぶん　やまとしぶやさんちょうめてん,2420023,大和市渋谷3-9-1,,,143-D-10,046-269-5332,,,139.4650332,35.4347534
セブンイレブン　大和下鶴間２丁目店,せぶんいれぶん　やまとしもつるまにちょうめてん,2420001,大和市下鶴間2-9-12,,,49-D-9,046-261-7188,,,139.4650924,35.4893515
業務スーパー　大和店,ぎょうむすーぱー　やまとてん,2420001,大和市下鶴間2767-3,,,49-D-7,046-244-3100,,,139.4651269,35.4901175
ファミリーマート　大和東一丁目店,ふぁみりーまーと　やまとひがしいっちょうめてん,2420017,大和市大和東1-3-11,,,93-D-7,046-200-1371,,,139.4651324,35.4673287
マックスバリュエクスプレス　大和つきみ野店,まっくすばりゅえくすぷれす　やまとつきみのてん,2420002,大和市つきみ野4-10-3 つきみ野生鮮市場1F,,,23-E-7,046-278-0550,,,139.4651613,35.5040289
タバコショップ　オダギリ,たばこしょっぷおだぎり,2420017,大和市大和東1-3-9,,,93-E-7,046-261-9264,,,139.4652387,35.4676738
ローソン　大和柳橋１丁目店,ろーそん　やまとやなぎばしいっちょうめてん,2420022,大和市柳橋1-22-1,,,109-D-9,046-260-2126,,,139.4653089,35.4580172
ツルハドラッグ　大和渋谷店,つるはどらっぐ　やまとしぶやてん,2420024,大和市渋谷5-39-3,,,159-D・E-2,046-201-0123,,,139.4654708,35.4290675
オダギリ薬局　本店,おだぎりやっきょくほんてん,2420017,大和市大和東1-4-2,,,93-E-8,046-261-1193,,,139.4655165,35.4671259
ローソン　大和駅前店,ろーそん　やまとえきまえてん,2420017,大和市大和東1-4-20,,,93-E-8,046-260-7181,,,139.4655501,35.4670282
白栄ランドリー,はくえいらんどりー,2420024,大和市福田1-15-2,,,121-F-9,046-267-1052,,,139.466418,35.4487246
セブンイレブン　大和下鶴間東店,せぶんいれぶん　やまとしもつるまひがしてん,2420001,大和市下鶴間809-1,,,23-G-9,046-272-4539,,,139.4666077,35.5028438
セブンイレブン　大和深見西６丁目店,せぶんいれぶん　やまとふかみにしろくちょうめてん,2420018,大和市深見西6-5,,,67-G-5･6,046-262-9711,,,139.4667114,35.4819615
そうてつローゼン　大和駅前店,そうてつろーぜん　やまとえきまえてん,2420016,大和市大和南1-2-1,,,93-H-9,046-244-4400,,,139.4667184,35.4665104
（有）金子宝泉堂,ゆうげんがいしゃかねこほうせんどう,2420017,大和市大和東3-2-17,,,93-G-6,046-261-0633,,,139.4667861,35.4680339
セブンイレブン　大和東一丁目店,せぶんいれぶん　やまとひがしいっちょうめてん,2420017,大和市大和東1-8-12,,,93-H-9,046-262-3210,,,139.4669947,35.4667335
セブンイレブン　大和柳橋１丁目店,せぶんいれぶん　やまとやなぎばしいっちょうめてん,2420022,大和市柳橋1-5-1,,,109-H-9,046-264-7011,,,139.4671679,35.4576567
山村クリーニング,やまむらくりーにんぐ,2420024,大和市福田1587-18,,,165-H-8,046-267-7165,,,139.4672422,35.4220679
