名称,ふりがな,郵便番号,所在地,関連URL,写真,コメント,電話番号,FAX番号,その他情報,経度,緯度
保坂商店 魚松,ほさかしょうてんうおまつ,2420001,大和市下鶴間2771-91,,,,046-276-5243,,,139.4598963,35.4907368
山金商店,やまがねしょうてん,2420001,大和市下鶴間2973,,,,046-274-9749,,,139.4603666,35.4956432
湘南マット,しょうなんまっと,2420006,大和市草柳3-8-2,,,,046-262-2136,,,139.4607299,35.4542958
ローソンつきみ野駅前店,ろーそんつきみのえきまえてん,2420002,大和市つきみ野3-24-3,,,,046-277-5752,,,139.4608189,35.5065586
松井酒店,まついさけてん,2420024,大和市福田3710,,,,046-267-6604,,,139.4612393,35.4330548
ミニストップ大和代官２丁目店,みにすとっぷやまとだいかんにちょうめてん,2420025,大和市代官2-6-6,,,,046-269-6616,,,139.461468,35.4374067
ファミリーマート大和代官二丁目店,ふぁみりーまーとやまとだいかんにちょうめてん,2420025,大和市代官2-17-4,,,,046-279-5677,,,139.4615387,35.4361028
セブンイレブン大和中央５丁目店,せぶんいれぶんやまとちゅうおうごちょうめてん,2420021,大和市中央5-3-18,,,,046-263-5006,,,139.4618029,35.4640062
ローソン大和下鶴間二丁目店,ろーそんやまとしもつるまにちょうめてん,2420001,大和市下鶴間2776-13,,,,046-275-2080,,,139.4620924,35.4891554
林米店,はやしこめてん,2420021,大和市中央2-8-4,,,,046-261-0144,,,139.4627644,35.4685908
ローソン・スリーエフ大和駅前店,ろーそんすりーえふやまとえきまえてん,2420021,大和市中央4-1-24,,,,046-263-0065,,,139.4636718,35.4664989
ぷちショップ宮村酒店,ぷちしょっぷみやむらさけてん,2420021,大和市中央4-1-3,,,,046-261-0058,,,139.4637148,35.4663087
セブンイレブン大和中央６丁目店,せぶんいれぶんやまとちゅうおうろくちょうめてん,2420021,大和市中央6-9-1,,,,046-263-7077,,,139.4638696,35.4593916
ファミリーマート深見西一丁目店,ふぁみりーまーとふかみにしいっちょうめてん,2420018,大和市深見西1-2-32,,,,046-200-4781,,,139.4639176,35.4714486
伊波商店（ヤマザキショップ）,いなみしょうてんやまざきしょっぷ,2420021,大和市中央1-7-20,,,,046-261-2966,,,139.4641586,35.4624135
つばた酒店,つばたさけてん,2420002,大和市つきみ野4-11-38,,,,046-276-0770,,,139.4646113,35.5050683
榎本商店,えのもとしょうてん,2420001,大和市下鶴間2-4-22,,,,046-263-3156,,,139.4646354,35.4858767
セブンイレブン大和深見店,せぶんいれぶんやまとふかみてん,2420018,大和市深見西2-4-4,,,,046-260-7778,,,139.4649515,35.4730483
セブンイレブン大和福田店,せぶんいれぶんやまとふくだてん,2420023,大和市渋谷5-41-1,,,,046-268-1010,,,139.465049,35.4312927
セブンイレブン大和下鶴間２丁目店,せぶんいれぶんやまとしもつるまにちょうめてん,2420001,大和市下鶴間2-9-12,,,,046-261-7188,,,139.4650776,35.4893766
セブンイレブン大和渋谷３丁目店,せぶんいれぶんやまとしぶやさんちょうめてん,2420023,大和市渋谷3-9-1,,,,046-269-5332,,,139.4650904,35.4347727
ファミリーマート大和東一丁目店,ふぁみりーまーとやまとひがしいっちょうめてん,2420017,大和市大和東1-3-11,,,,046-200-1371,,,139.4651871,35.4673849
ローソン大和柳橋一丁目店,ろーそんやまとやなぎばしいっちょうめてん,2420022,大和市柳橋1-22-1,,,,046-260-2126,,,139.4651882,35.4579449
ローソン・スリーエフ大和東2丁目店,ろーそんすりーえふやまとひがしにちょうめてん,2420017,大和市大和東2-5-10,,,,046-261-2873,,,139.465417,35.4695705
オダギリ楽器,おだぎりがっき,2420016,大和市大和南1-3-2,,,,046-261-3007,,,139.4655277,35.4662575
ローソン大和駅前店,ろーそんやまとえきまえてん,2420017,大和市大和東1-4-20,,,,046-260-7181,,,139.4656553,35.4669907
セブンイレブン大和下鶴間東店,せぶんいれぶんやまとしもつるまひがしてん,2420001,大和市下鶴間809-1,,,,046-272-4539,,,139.4666299,35.5028293
セブンイレブン大和深見西６丁目店,せぶんいれぶんやまとふかみにしろくちょうめてん,2420018,大和市深見西6-5-4,,,,046-262-9711,,,139.466632,35.4819807
金子宝泉堂,かねこほうせんどう,2420017,大和市大和東3-2-17,,,,046-261-0633,,,139.4669561,35.4680532
セブンイレブン大和東1丁目店,せぶんいれぶんやまとひがしいっちょうめてん,2420017,大和市大和東1-8-12,,,,046-262-3210,,,139.467167,35.4667178
ファミリーマート大和深見西店,ふぁみりーまーとやまとふかみにしてん,2420018,大和市深見西2-2-2,,,,046-200-2016,,,139.467262,35.4721891
山村クリーニング,やまむらくりーにんぐ,2420024,大和市福田1587-18,,,,046-267-7165,,,139.4672708,35.422046
マルエムサイクル,まるえむさいくる,2420022,大和市柳橋3-10-1,,,,046-268-1817,,,139.4677212,35.4511049
嶋田商店,しまだしょうてん,2420022,大和市柳橋2-9-6,,,,046-267-5050,,,139.4677909,35.4528184
ローソン大和深見東三丁目店,ろーそんやまとふかみひがしさんちょうめてん,2420012,大和市深見東3-1-6,,,,046-263-0920,,,139.4677993,35.4794765
山下酒店,やましたさけてん,2420024,大和市福田2-6-3,,,,046-267-0807,,,139.4679179,35.445469
ローソン大和南一丁目店,ろーそんやまとみなみいっちょうめてん,2420016,大和市大和南1-8-1,,,,046-264-0513,,,139.4679802,35.4661785
セブンイレブン大和島津店,せぶんいれぶんやまとしまづてん,2420012,大和市深見東2-1-9,,,,046-264-4088,,,139.4680459,35.4770322
ファミリーマート高座渋谷駅店,ふぁみりーまーとこうざしぶやえきてん,2420024,大和市渋谷6-16-3,,,,046-279-5636,,,139.4680988,35.429231
セブンイレブン小田急高座渋谷東口店,せぶんいれぶんおだきゅうこうざしぶやひがしぐちてん,2420023,大和市渋谷6-12-2,,,,046-206-5570,,,139.4687017,35.429491
ミュージックショップダイエー,みゅーじっくしょっぷだいえー,2420024,大和市福田2-2-3,,,,046-267-4045,,,139.4684367,35.4470361
ファミリーマート大和東三丁目店,ふぁみりーまーとやまとひがしさんちょうめてん,2420017,大和市大和東3-11-17,,,,046-200-3016,,,139.4684532,35.4705885
セブンイレブン大和福田１丁目店,せぶんいれぶんやまとふくだいっちょうめてん,2420024,大和市福田1-1-1,,,,046-267-7082,,,139.4685418,35.4492148
セブンイレブン大和東３丁目店,せぶんいれぶんやまとひがしさんちょうめてん,2420017,大和市大和東3-4-17,,,,046-260-3262,,,139.4688006,35.468848
松屋酒店,まつやさけてん,2420024,大和市福田2025,,,,046-267-2686,,,139.4688677,35.4288998
伊東商店,いとうしょうてん,2420023,大和市渋谷1-4-3,,,,046-267-1006,,,139.4690519,35.4346104
セブンイレブン大和福田中央店,せぶんいれぶんやまとふくだちゅうおうてん,2420024,大和市福田2339-12,,,,046-267-1861,,,139.4690611,35.4369922
大和種苗商会,やまとしゅびょうしょうかい,2420016,大和市大和南1-11-6,,,,046-261-2553,,,139.4690807,35.4655465
セブンイレブン大和桜ヶ丘東口店,せぶんいれぶんやまとさくらがおかひがしぐちてん,2420024,大和市福田5515-5,,,,046-269-8670,,,139.4692098,35.4466542
ローソン大和高座渋谷東店,ろーそんやまとこうざしぶやひがしてん,2420015,大和市渋谷7-15-6,,,,046-269-5563,,,139.4694245,35.4264379
イオン大和店,いおんやまとてん,2420015,大和市渋谷6-6-1,,,,046-269-1111,,,139.4694892,35.4317432
菓子司 増田屋,かしつかさますだや,2420016,大和市大和南1-14-2,,,,046-261-0113,,,139.4694949,35.4660567
セブンイレブン大和下鶴間宿店,せぶんいれぶんやまとしもつるましゅくてん,2420001,大和市下鶴間2236-1,,,,046-272-7116,,,139.4697604,35.4982114
ファミリーマート大和南二丁目店,ふぁみりーまーとやまとみなみにちょうめてん,2420016,大和市大和南2-13-12,,,,046-200-3258,,,139.4701258,35.460161
セブンイレブン大和上和田店,せぶんいれぶんやまとかみわだてん,2420014,大和市上和田1826-1,,,,046-267-6681,,,139.4703957,35.44154
ローソン大和深見店,ろーそんやまとふかみてん,2420011,大和市深見3869-13,,,,046-263-3310,,,139.4707455,35.4568924
ローソン・スリーエフ大和上和田団地店,ろーそんすりーえふやまとかみわだだんちてん,2420014,大和市上和田3294,,,,046-267-1186,,,139.4744073,35.433635
セブンイレブン大和いちょう団地店,せぶんいれぶんやまといちょうだんちてん,2420015,大和市下和田104,,,,046-268-6156,,,139.475296,35.4278482
カギサン支店,かぎさんしてん,2420015,大和市下和田605,,,,046-267-7718,,,139.4754652,35.4238518
セブンイレブン大和上和田中央店,せぶんいれぶんやまとかみわだちゅうおうてん,2420014,大和市上和田1626-3,,,,046-268-7008,,,139.4774944,35.4458283
御菓子司 松埜,おんかしつかさまつの,2420014,大和市上和田440-20,,,,046-268-1955,,,139.4784517,35.4515687
セブンイレブン大和鶴間駅東口店,せぶんいれぶんやまとつるまえきひがしぐちてん,2420004,大和市鶴間1-31-3,,,,046-240-7368,,,139.4571035,35.4872184
セブンイレブン大和トラックステーション店,せぶんいれぶんやまととらっくすてーしょんてん,2420029,大和市上草柳588,,,,046-262-0711,,,139.4423694,35.4745889
セブンイレブン大和代官４丁目店,せぶんいれぶんやまとだいかんよんちょうめてん,2420025,大和市代官4-18-1,,,,046-269-2577,,,139.457575,35.4357639
ファミリーマート大和中央五丁目店,ふぁみりーまーとやまとちゅうおうごちょうめてん,2420021,大和市中央5-10-3,,,,046-200-2027,,,139.4609778,35.462475
ファミリーマート大和草柳３丁目店,ふぁみりーまーとやまとそうやぎさんちょうめてん,2420006,大和市草柳3-22-1,,,,046-200-5170,,,139.4608,35.4565861
ローソンストア１００大和中央二丁目店,ろーそんすとあひゃくやまとちゅうおうにちょうめてん,2420021,大和市中央2-13-23,,,,046-200-2399,,,139.46205,35.4708056
セブンイレブン大和駅西店,せぶんいれぶんやまとえきにしてん,2420021,大和市中央2-4-2,,,,046-263-1778,,,139.4636917,35.4673889
シンセツ電気,しんせつでんき,2420006,大和市南林間6-23-25,,,,046-275-8878,,,139.4404083,35.4877583
島忠ホームズ大和店,しまちゅうほーむずやまとてん,2420014,大和市上和田2670-1,,,,046-279-5051,,,139.4700827,35.4390041
ローソン大和下和田店,ろーそんやまとしもわだてん,2420015,大和市下和田771-1,,,,046-268-5100,,,139.4718887,35.421744
イオン大和鶴間店,いおんやまとつるまてん,2420001,大和市下鶴間1-2-1,,,,046-200-3300,,,139.4608556,35.4859694
セブンイレブン大和桜ケ丘西口店,せぶんいれぶんやまとさくらがおかにしぐちてん,2420024,大和市福田2-3-14,,,,046-268-7387,,,139.4678471,35.4460522
セブンイレブン大和下鶴間店,せぶんいれぶん大和しもつるまてん,2420001,大和市下鶴間2782-1,,,,046-273-4311,,,139.4582663,35.4892392
ミニストップ大和上草柳店,みにすとっぷやまとかみそうやぎてん,2420029,大和市上草柳170-5,,,,046-264-8005,,,139.438221,35.4751042
ローソンストア１００ 南林間七丁目店,ろーそんすとあひゃくみなみりんかんななちょうめてん,2420006,大和市南林間7-25-1,,,,046-275-2771,,,139.4403586,35.4880695
ローソンストア１００ 南林間店,ろーそんすとあひゃくみなみりんかんてん,2420006,大和市南林間2-9-3,,,,046-271-5527,,,139.4489856,35.4930931
ローソン西鶴間小学校入口店,ろーそんにしつるましょうがっこういりぐちてん,2420005,大和市西鶴間2-26-10,,,,046-240-9551,,,139.4498376,35.4835828
ローソン大和深見台四丁目店,ろーそんやまとふかみだいよんちょうめてん,2420018,大和市深見台4-13-20,,,,046-206-7277,,,139.4707192,35.4723703
セブンイレブン小田急マルシェ大和店,せぶんいれぶんおだきゅうまるしぇやまとてん,2420021,大和市中央1-1-26,,,,046-200-3611,,,139.4650446,35.4660068
セブンイレブン小田急マルシェ中央林間店,せぶんいれぶんおだきゅうまるしぇちゅうおうりんかんてん,2420007,大和市中央林間4-4-3,,,,046-240-8035,,,139.4475308,35.5053378
